Time_s,ref_tau_L,new_tau_L,ref_tau_R,new_tau_R,err_L,err_R
64.9286,6.9599685072898865,6.9599685072898865,8.9635169506073,8.9635169506073,0.0,0.0
64.9386,7.865126430988312,7.865126430988312,8.017072677612305,8.017072677612305,0.0,0.0
64.9486,9.374881088733673,9.374881088733673,6.881981939077377,6.881981939077377,0.0,0.0
64.9586,10.443111062049866,10.443111062049866,5.903502702713013,5.903502702713013,0.0,0.0
64.9686,11.373421847820282,11.373421847820282,4.135743230581284,4.135743230581284,0.0,0.0
64.9786,11.897916197776794,11.897916197776794,2.436876967549324,2.436876967549324,0.0,0.0
64.9886,12.419477105140686,12.419477105140686,1.647995486855507,1.647995486855507,0.0,0.0
64.9986,12.457111179828644,12.457111179828644,-0.2416430041193962,-0.2416430041193962,0.0,0.0
65.0086,12.560111582279205,12.560111582279205,-1.3424163311719894,-1.3424163311719894,0.0,0.0
65.0186,12.853519320487976,12.853519320487976,-2.0079106092453003,-2.0079106092453003,0.0,0.0
65.0286,12.772902846336365,12.772902846336365,-2.4293797463178635,-2.4293797463178635,0.0,0.0
65.0386,12.98931509256363,12.98931509256363,-2.75553435087204,-2.75553435087204,0.0,0.0
65.0486,12.868667542934418,12.868667542934418,-3.026859685778618,-3.026859685778618,0.0,0.0
65.0586,12.418265640735626,12.418265640735626,-2.761010304093361,-2.761010304093361,0.0,0.0
65.0686,12.656335830688477,12.656335830688477,-2.843431457877159,-2.843431457877159,0.0,0.0
65.0786,12.606658637523651,12.606658637523651,-3.041585460305214,-3.041585460305214,0.0,0.0
65.0886,12.627186477184296,12.627186477184296,-3.053121194243431,-3.053121194243431,0.0,0.0
65.0986,12.81672477722168,12.81672477722168,-3.834853917360306,-3.834853917360306,0.0,0.0
65.1086,12.918476164340973,12.918476164340973,-4.785404652357101,-4.785404652357101,0.0,0.0
65.1186,12.889905273914337,12.889905273914337,-5.5115050077438354,-5.5115050077438354,0.0,0.0
65.1286,12.590970396995544,12.590970396995544,-5.618932843208313,-5.618932843208313,0.0,0.0
65.1386,12.580834329128265,12.580834329128265,-6.30400076508522,-6.30400076508522,0.0,0.0
65.1486,12.738561630249023,12.738561630249023,-7.874785959720612,-7.874785959720612,0.0,0.0
65.1586,12.69226849079132,12.69226849079132,-7.907119989395142,-7.907119989395142,0.0,0.0
65.1686,12.697767913341522,12.697767913341522,-8.651742339134216,-8.651742339134216,0.0,0.0
65.1786,12.703634798526764,12.703634798526764,-8.572150468826294,-8.572150468826294,0.0,0.0
65.1886,12.689360082149506,12.689360082149506,-8.624291718006134,-8.624291718006134,0.0,0.0
65.1986,12.090615034103394,12.090615034103394,-9.659501016139984,-9.659501016139984,0.0,0.0
65.2086,10.902349948883057,10.902349948883057,-10.057225227355957,-10.057225227355957,0.0,0.0
65.2186,10.948565304279327,10.948565304279327,-10.456056296825409,-10.456056296825409,0.0,0.0
65.2286,10.405744314193726,10.405744314193726,-9.604536294937134,-9.604536294937134,0.0,0.0
65.2386,10.853419303894043,10.853419303894043,-9.311585426330566,-9.311585426330566,0.0,0.0
65.2486,10.724847614765167,10.724847614765167,-9.174284934997559,-9.174284934997559,0.0,0.0
65.2586,11.169147491455078,11.169147491455078,-9.248736798763275,-9.248736798763275,0.0,0.0
65.2686,11.455531418323517,11.455531418323517,-9.111075103282928,-9.111075103282928,0.0,0.0
65.2786,11.131933629512787,11.131933629512787,-8.76937597990036,-8.76937597990036,0.0,0.0
